article_id,Date,Headline,Snippet,Article_Sentiment_Score,Number_of_Sentiment_Words,Average_Article_Sentiment
32,2025-06-20T07:12:53Z,Forum Financial Management LP Grows Stock Holdings in Apple Inc. (NASDAQ:AAPL),"Forum Financial Management LP raised its position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 3.5% during the fourth quarter, HoldingsChannel reports. The firm owned 315,003 shares of the â€¦ [+6956 chars]",1,1,1
33,2025-06-20T07:48:49Z,"37,426 Shares in Apple Inc. (NASDAQ:AAPL) Bought by Hall Capital Management Co. Inc.","Hall Capital Management Co. Inc. purchased a new position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the 4th quarter, HoldingsChannel.com reports. The fund purchased 37,426 shares of the iPhoneâ€¦ [+6102 chars]",1,1,1
34,2025-06-20T07:12:52Z,"10,540 Shares in Apple Inc. (NASDAQ:AAPL) Bought by Vermillion Wealth Management Inc.","Vermillion Wealth Management Inc. acquired a new position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, according to its most recent disclosure with the Securities and Exchaâ€¦ [+6665 chars]",1,1,1
37,2025-06-20T21:36:12Z,"Apple executives held internal talks about buying Perplexity, Bloomberg News reports","{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did S&amp;P 500 and Nasdaq ease today? { window.open(this.href, '_blank'); }, 200); return false;""&gt;What impact will Teslas robotaâ€¦ [+724 chars]",-2,4,-0.5
38,2025-06-20T11:15:08Z,"Urgent Upgrade Appeal After â€˜Biggest Everâ€™ 16 Billion Hack Hits Facebook, Google, Apple And Others","Passwords linked to accounts with Apple, Facebook, and Google as well as government services and other social media platforms are among a colossal"" data breach, according to researchers.
Front-run Dâ€¦ [+2930 chars]",-2,4,-0.5
39,2025-06-20T07:48:49Z,Instrumental Wealth LLC Raises Stake in Apple Inc. (NASDAQ:AAPL),"Instrumental Wealth LLC lifted its stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 7.4% in the 4th quarter, Holdings Channel.com reports. The firm owned 7,525 shares of the iPhone makerâ€™s stock afâ€¦ [+6207 chars]",3,3,1
40,2025-06-20T07:12:50Z,Sunbeam Capital Management LLC Makes New $2.10 Million Investment in Apple Inc. (NASDAQ:AAPL),"Sunbeam Capital Management LLC purchased a new position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the 4th quarter, HoldingsChannel reports. The firm purchased 8,388 shares of the iPhâ€¦ [+6951 chars]",1,1,1
41,2025-06-20T07:12:49Z,WNY Asset Management LLC Has $14.65 Million Position in Apple Inc. (NASDAQ:AAPL),"WNY Asset Management LLC lessened its holdings in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 2.0% in the fourth quarter, Holdings Channel.com reports. The fund owned 58,493 shares of the iPhâ€¦ [+6648 chars]",1,1,1
42,2025-06-20T22:36:39Z,"Apple sued by shareholdrs, accues of lying about AI progress â€” causing iPhone sales, stock to slump",AppleÂ was sued on Friday by shareholders in a proposed securities fraud class action that accused it of downplaying how long it needed to integrate advanced artificial intelligence into its Siri voicâ€¦ [+1888 chars],-2,8,-0.25
43,2025-06-20T21:05:12Z,Apple Sued by Shareholder Over Delayed Siri Features Allegedly Lowering Stock Price,"Apple shareholder Eric Tucker today filed a proposed class action lawsuit against the company in a California court, over alleged violations of federal U.S. securities laws.
Apple's CEO Tim Cook, foâ€¦ [+1606 chars]",-2,2,-1
44,2025-06-20T07:12:50Z,Sunbeam Capital Management LLC Invests $5.14 Million in Apple Inc. (NASDAQ:AAPL),"Sunbeam Capital Management LLC bought a new stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the fourth quarter, Holdings Channel.com reports. The institutional investor bought 20,530 shaâ€¦ [+6323 chars]",1,1,1
45,2025-06-20T23:42:00Z,Report: Apple has held internal discussions about acquiring Perplexity,"Apple Inc. executives have held discussions about buying Perplexity AI Inc., Bloomberg reported today.
The publication cited sources as saying that the talks are in an early stage and may not lead tâ€¦ [+3546 chars]",-1,3,-0.3333333333333333
46,2025-06-20T21:55:02Z,Apple execs may be newly considering buying AI firm Perplexity,"Perhaps in an acquihire to boost search, or to improve Siri, Apple executives have reportedly recently discussed buying or partnering with AI startup Perplexity.
The two executives linked to discussâ€¦ [+2064 chars]",0,4,0
47,2025-06-20T21:46:32Z,Report: Apple held internal talks about acquiring AI search startup Perplexity,"As Apple scrambles to play catch-up in the generative AI race, a new report says the company has considered making its biggest acquisition ever.
According to Bloomberg, Apple executives have held inâ€¦ [+2634 chars]",-2,2,-1
48,2025-06-20T05:17:29Z,Apple eyes generative AI to speed up custom chip design: Report,"Tech giant Apple Inc. is reportedly considering using artificial intelligence to help speed up the design of the custom chips that power its devices.Â 
At a speech last month at the ITF World Confereâ€¦ [+2295 chars]",1,1,1
49,2025-06-20T22:15:00Z,INVESTOR NOTICE: Apple Inc. (AAPL) Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit - Robbins Geller,"SAN DIEGO, June 20, 2025 (GLOBE NEWSWIRE) -- The law firm of Robbins Geller Rudman &amp; Dowd LLP announces that purchasers or acquirers of Apple Inc. (NASDAQ: AAPL) securities between June 10, 2024 â€¦ [+5849 chars]",0,2,0
50,2025-06-20T07:12:51Z,Apple Inc. (NASDAQ:AAPL) is Montchanin Asset Management LLCâ€™s Largest Position,"Montchanin Asset Management LLC trimmed its position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 6.8% in the 4th quarter, according to the company in its most recent disclosure with the SEâ€¦ [+6858 chars]",1,1,1
51,2025-06-20T21:02:21Z,"Early July 4 Apple Deals: Score the Lowest Prices on MacBooks, AirPods and More","Apple makes some of the most popular smartphones,Â laptops, smartwatches and earbuds, but Apple products do come with a hefty price tag. That's whyÂ Fourth of July salesÂ are an excellent time to shop fâ€¦ [+3459 chars]",1,3,0.3333333333333333
